sector,technology,label,color_hex
Power,CoalCap,Coal Capacity, #7A2701
Power,OilCap,Oil Capacity, #a63603
Power,GasCap,Gas Capacity, #e6550d
Power,NuclearCap,Nuclear Capacity, #fd8d3c
Power,HydroCap,Hydro Capacity, #fdbe85
Power,RenewablesCap,Renewables Capacity, #ffd4ad
Automotive,Electric,Electric,#548995
Automotive,Electric_HDV,Electric Heavy Duty Vehicles, #609cab
Automotive,FuelCell,FuelCell,#6cb0c0
Automotive,Hybrid,Hybrid,#78c4d6
Automotive,Hybrid_HDV,Hybrid Heavy Duty Vehicles,#93cfde
Automotive,ICE,ICE,#aedbe6
Automotive,ICE_HDV,ICE Heavy Duty Vehicles,#c9e7ee
Oil&Gas,Gas,Gas,#b9b5b0
Oil&Gas,Oil,Oil,#181716
Fossil Fuels,Gas,Gas,#b9b5b0
Fossil Fuels,Oil,Oil,#181716
Fossil Fuels,Coal,Coal,#4e3b37
