dataset,column,typeof,definition
prep_techmix_output,sector,character,
prep_techmix_output,technology,character,
prep_techmix_output,year,integer,
prep_techmix_output,region,character,
prep_techmix_output,scenario_source,character,
prep_techmix_output,metric,character,
prep_techmix_output,production,double,
prep_techmix_output,technology_share,double,
prep_techmix_output,scope,character,
prep_techmix_output,percentage_of_initial_production_by_scope,double,
prep_techmix_output,label,character,
prep_techmix_output,label_tech,character,
prep_techmix_output,value,double,
