sector	technology	year	region	scenario_source	metric	production	technology_share
automotive	electric	2020	global	demo_2020	projected	145942.297328329	0.18274620968256
automotive	electric	2020	global	demo_2020	corporate_economy	8134868.74989067	0.0566256660518862
automotive	electric	2020	global	demo_2020	target_cps	145942.297328329	0.0648883520836058
automotive	electric	2020	global	demo_2020	target_sds	145942.297328329	0.0648883520836058
automotive	electric	2020	global	demo_2020	target_sps	145942.297328329	0.0648883520836058
automotive	electric	2021	global	demo_2020	projected	148211.710641667	0.18265670554264
automotive	electric	2021	global	demo_2020	corporate_economy	8183410.71007903	0.0568806189078
automotive	electric	2021	global	demo_2020	target_cps	148361.486013279	0.0636260840924084
automotive	electric	2021	global	demo_2020	target_sds	160624.717318309	0.0701554770376851
automotive	electric	2021	global	demo_2020	target_sps	149015.819302343	0.0639996859779415
automotive	electric	2022	global	demo_2020	projected	150481.123955006	0.182572221745974
automotive	electric	2022	global	demo_2020	corporate_economy	8231952.67026739	0.057134830403506
automotive	electric	2022	global	demo_2020	target_cps	150729.816153489	0.0624375072214748
automotive	electric	2022	global	demo_2020	target_sds	175307.137281795	0.0752398371695666
automotive	electric	2022	global	demo_2020	target_sps	152089.341276357	0.0631695258304069
automotive	electric	2023	global	demo_2020	projected	152750.537268344	0.182492204342948
automotive	electric	2023	global	demo_2020	corporate_economy	8280494.63045575	0.0573883037679367
automotive	electric	2023	global	demo_2020	target_cps	153053.933820978	0.061314099595207
automotive	electric	2023	global	demo_2020	target_sds	189989.557271776	0.0801507829269428
automotive	electric	2023	global	demo_2020	target_sps	155162.863250371	0.0623922780917656
automotive	electric	2024	global	demo_2020	projected	155019.950581683	0.18241615033466
automotive	electric	2024	global	demo_2020	corporate_economy	8329036.59064411	0.0576410422113006
automotive	electric	2024	global	demo_2020	target_cps	154634.913126701	0.0603365915444816
automotive	electric	2024	global	demo_2020	target_sds	202694.096200611	0.0841581252575697
automotive	electric	2024	global	demo_2020	target_sps	157289.322875502	0.0616359052494735
automotive	electric	2025	global	demo_2020	projected	157289.363895021	0.182343599184694
automotive	electric	2025	global	demo_2020	corporate_economy	8377578.55083248	0.0578930489252175
automotive	electric	2025	global	demo_2020	target_cps	156198.725850037	0.0594082085780572
automotive	electric	2025	global	demo_2020	target_sds	215398.63515594	0.0880406917547064
automotive	electric	2025	global	demo_2020	target_sps	159415.782500632	0.0609171171203741
automotive	electric	2026	global	demo_2020	projected	159558.777208359	0.182274125460004
automotive	electric	2026	global	demo_2020	corporate_economy	8426120.51102084	0.0581443270828536
automotive	electric	2026	global	demo_2020	target_cps	157746.596966104	0.0585229245587357
automotive	electric	2026	global	demo_2020	target_sds	228103.174084775	0.0918042207916702
automotive	electric	2026	global	demo_2020	target_sps	161542.242125763	0.0602331802128353
automotive	hybrid	2020	global	demo_2020	projected	141767.815432965	0.0324222522384055
automotive	hybrid	2020	global	demo_2020	corporate_economy	8762472.64567686	0.060994327637991
automotive	hybrid	2020	global	demo_2020	target_cps	141767.815432965	0.0630323085927758
automotive	hybrid	2020	global	demo_2020	target_sds	141767.815432965	0.0630323085927758
automotive	hybrid	2020	global	demo_2020	target_sps	141767.815432965	0.0630323085927758
automotive	hybrid	2021	global	demo_2020	projected	138686.946120677	0.0323576605046014
automotive	hybrid	2021	global	demo_2020	corporate_economy	8784209.09325996	0.0610566018915267
automotive	hybrid	2021	global	demo_2020	target_cps	178914.244178765	0.0767288940771929
automotive	hybrid	2021	global	demo_2020	target_sds	200434.918344785	0.08754323460456
automotive	hybrid	2021	global	demo_2020	target_sps	189698.959558399	0.0814723825894429
automotive	hybrid	2022	global	demo_2020	projected	135606.07680839	0.032344894457177
automotive	hybrid	2022	global	demo_2020	corporate_economy	8805945.54084307	0.0611186950619623
automotive	hybrid	2022	global	demo_2020	target_cps	215155.904848299	0.0891250232072791
automotive	hybrid	2022	global	demo_2020	target_sds	259102.021256606	0.111203652012844
automotive	hybrid	2022	global	demo_2020	target_sps	237630.103442329	0.0986984415311945
automotive	hybrid	2023	global	demo_2020	projected	132525.207496102	0.0323857455763686
automotive	hybrid	2023	global	demo_2020	corporate_economy	8827681.98842618	0.0611806079379901
automotive	hybrid	2023	global	demo_2020	target_cps	250641.132078013	0.1004079735243
automotive	hybrid	2023	global	demo_2020	target_sds	317769.124168427	0.134057073756295
automotive	hybrid	2023	global	demo_2020	target_sps	285561.247326258	0.114826553095131
automotive	hybrid	2024	global	demo_2020	projected	129444.338183815	0.0324823322074943
automotive	hybrid	2024	global	demo_2020	corporate_economy	8849418.43600929	0.0612423413037288
automotive	hybrid	2024	global	demo_2020	target_cps	294018.776895319	0.114722416104088
automotive	hybrid	2024	global	demo_2020	target_sds	393174.801489818	0.163245278536141
automotive	hybrid	2024	global	demo_2020	target_sps	345706.775445318	0.135469780566824
automotive	hybrid	2025	global	demo_2020	projected	126363.468871527	0.0326371214169686
automotive	hybrid	2025	global	demo_2020	corporate_economy	8871154.88359239	0.061303895938757
automotive	hybrid	2025	global	demo_2020	target_cps	336464.148452502	0.12796988068581
automotive	hybrid	2025	global	demo_2020	target_sds	468580.479076153	0.191524656090554
automotive	hybrid	2025	global	demo_2020	target_sps	405852.303805882	0.155087231243359
automotive	hybrid	2026	global	demo_2020	projected	123282.59955924	0.0328529571039089
automotive	hybrid	2026	global	demo_2020	corporate_economy	8892891.3311755	0.0613652726181456
automotive	hybrid	2026	global	demo_2020	target_cps	378113.947537372	0.14027772675876
automotive	hybrid	2026	global	demo_2020	target_sds	543986.156662488	0.21893700267097
automotive	hybrid	2026	global	demo_2020	target_sps	465997.831924942	0.173753508802198
automotive	ice	2020	global	demo_2020	projected	1961419.24007369	0.719730679620703
automotive	ice	2020	global	demo_2020	corporate_economy	126760220.65445	0.882359893457257
automotive	ice	2020	global	demo_2020	target_cps	1961419.24007369	0.872079339323618
automotive	ice	2020	global	demo_2020	target_sds	1961419.24007369	0.872079339323618
automotive	ice	2020	global	demo_2020	target_sps	1961419.24007369	0.872079339323618
automotive	ice	2021	global	demo_2020	projected	1970173.48274379	0.719884775494427
automotive	ice	2021	global	demo_2020	corporate_economy	126899459.604728	0.882042959482916
automotive	ice	2021	global	demo_2020	target_cps	2004495.71432753	0.859645021830399
automotive	ice	2021	global	demo_2020	target_sds	1928493.85467989	0.842301288357755
automotive	ice	2021	global	demo_2020	target_sps	1989668.82217292	0.854527931432616
automotive	ice	2022	global	demo_2020	projected	1978927.72541389	0.719982025338517
automotive	ice	2022	global	demo_2020	corporate_economy	127038698.555006	0.881726947099496
automotive	ice	2022	global	demo_2020	target_cps	2048205.14939168	0.848437469571246
automotive	ice	2022	global	demo_2020	target_sds	1895568.46869528	0.813556510817589
automotive	ice	2022	global	demo_2020	target_sps	2017918.40402306	0.838132032638399
automotive	ice	2023	global	demo_2020	projected	1987681.968084	0.720021191622352
automotive	ice	2023	global	demo_2020	corporate_economy	127177937.505284	0.881411852293083
automotive	ice	2023	global	demo_2020	target_cps	2092532.30808894	0.838277926880493
automotive	ice	2023	global	demo_2020	target_sds	1862643.08300607	0.785792143316762
automotive	ice	2023	global	demo_2020	target_sps	2046167.98562412	0.822781168813103
automotive	ice	2024	global	demo_2020	projected	1996436.2107541	0.720000658999514
automotive	ice	2024	global	demo_2020	corporate_economy	127317176.455562	0.881097671073042
automotive	ice	2024	global	demo_2020	target_cps	2114217.51579842	0.82494099235143
automotive	ice	2024	global	demo_2020	target_sds	1812622.20854865	0.752596596206289
automotive	ice	2024	global	demo_2020	target_sps	2048914.54919653	0.802894314183702
automotive	ice	2025	global	demo_2020	projected	2005190.4534242	0.719918420940006
automotive	ice	2025	global	demo_2020	corporate_economy	127456415.405841	0.880784399471844
